token,freq_total,n_derecha,n_izquierda,prop_derecha,feenberg_dominante,prop_instrumentalismo,prop_determinismo,prop_sustantivismo,prop_teoria_critica,construccion_dominante,narrativa_dominante,prop_instr_narrativa,prop_det_optimista,prop_det_pesimista,prop_solucionismo,prop_tecnopoder,dominio_dominante
firmó,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
fiscal,4,2,2,0.5,INSTRUMENTALISMO,0.75,0.25,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,economia
fiscales,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fiscalización,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
fiscalizarnos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,educacion
fiscalía,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fiu,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
flexibilidad,2,1,1,0.5,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,economia
flexibilización,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,economia
flexibilizar,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
flexibilizaremos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
flexible,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,ciencia_innovacion
flores,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
florido,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,general
flota,3,1,2,0.3333333333333333,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0.3333333333333333,0,0.6666666666666666,0,infraestructura
flotas,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,NA
flt,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,NA
fluidamente,1,0,1,0,DETERMINISMO TECNOLÓGICO,0,1,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
fluido,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
fndustria,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
focalizados,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
foco,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0,0,0.5,0,ciencia_innovacion
foji,1,0,1,0,TEORÍA CRÍTICA,0,0,0,1,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fom,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
fomentando,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
fomentar,7,4,3,0.5714285714285714,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
fomente,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
fomento,4,0,4,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.25,0,0,0.75,0,ciencia_innovacion
foml·n,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
fomtnw,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
fonasa,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,salud
fondc·qrr,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fondo,15,4,11,0.26666666666666666,INSTRUMENTALISMO,0.9333333333333333,0,0,0.06666666666666667,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.13333333333333333,0.13333333333333333,0,0.7333333333333333,0,ciencia_innovacion
fondos,2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0.5,0.5,0,0,0,ciencia_innovacion
fontt:c,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,general
forestal,4,0,4,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0,0,0.5,0,agricultura
forestales,4,0,4,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.25,0,0,0.75,0,agricultura
formación,8,0,8,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.25,0,0,0.75,0,educacion
formado,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
formales,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,economia
formalizado,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
formalmente,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
formar,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,general
formas,4,0,4,0,INSTRUMENTALISMO,0.5,0.25,0,0.25,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0.25,0.5,0,0.25,0,economia
formativos,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
formemos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,industria
formidables,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
formular,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
formularios,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
foro,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fortalece,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
fortalecer,23,8,15,0.34782608695652173,INSTRUMENTALISMO,0.8695652173913043,0,0,0.13043478260869565,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.21739130434782608,0.08695652173913043,0,0.6956521739130435,0,economia
fortaleceremos,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
fortalecido,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fortaleciendo,2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fortalecimiento,3,1,2,0.3333333333333333,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.3333333333333333,0,0.6666666666666666,0,agricultura
fotovoltaica,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fracaso,3,1,2,0.3333333333333333,DETERMINISMO TECNOLÓGICO,0.3333333333333333,0.6666666666666666,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
fractura,1,0,1,0,DETERMINISMO TECNOLÓGICO,0,1,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,economia
francisco,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,educacion
franquicia,1,0,1,0,TEORÍA CRÍTICA,0,0,0,1,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,educacion
fraudulento,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,salud
frecuencia,1,0,1,0,TEORÍA CRÍTICA,0,0,0,1,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,NA
frecuentes,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
frene,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,ciencia_innovacion
frente,5,2,3,0.4,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,salud
frenó,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fresca,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
from,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,DETERMINISMO OPTIMISTA,0,1,0,0,0,NA
frontera,4,0,4,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fronteras,4,2,2,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.25,0,0.75,0,seguridad
fronteriza,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,infraestructura
fronterizo,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,agricultura
froward,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,general
fructíferas,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fruta,5,1,4,0.2,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.6,0,0,0.4,0,economia
frutos,2,0,2,0,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,infraestructura
frutícola,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fucr:wsc1enrificosen,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fuego,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,agricultura
fuegos,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
fuente,4,1,3,0.25,INSTRUMENTALISMO,0.75,0,0,0.25,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.25,0,0,0.75,0,ciencia_innovacion
fuentes,8,1,7,0.125,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.25,0.125,0,0.625,0,energia
fuerce,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fuerte,6,1,5,0.16666666666666666,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
fuerza,14,9,5,0.6428571428571429,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0.14285714285714285,0.42857142857142855,0,0.42857142857142855,0,economia
fuerzas,14,12,2,0.8571428571428571,INSTRUMENTALISMO,0.9285714285714286,0,0,0.07142857142857142,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.21428571428571427,0,0.7857142857142857,0,economia
funciona,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,infraestructura
funcionamiento,3,2,1,0.6666666666666666,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.6666666666666666,0,0,0.3333333333333333,0,ciencia_innovacion
funcionando,2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,economia
funcionar,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
funcionarios,2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0,0,0.5,0,ciencia_innovacion
funcionará,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,agricultura
funciones,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0,0,0.5,0,educacion
fundaciones,3,0,3,0,TEORÍA CRÍTICA,0.3333333333333333,0,0,0.6666666666666666,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.6666666666666666,0,0,0.3333333333333333,0,ciencia_innovacion
fundación,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
fundamental,10,6,4,0.6,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.4,0,0.6,0,economia
fundamentales,5,2,3,0.4,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.2,0,0.8,0,ciencia_innovacion
fundamentalmente,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,general
fundición,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,mineria
fusión,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,NA
futaleufú,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,INSTRUMENTALISMO,1,0,0,0,0,NA
futrono,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,infraestructura
futura,4,1,3,0.25,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,infraestructura
futuras,3,1,2,0.3333333333333333,INSTRUMENTALISMO,0.6666666666666666,0.3333333333333333,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.3333333333333333,0,0.6666666666666666,0,agricultura
futuro,21,6,15,0.2857142857142857,INSTRUMENTALISMO,0.9047619047619048,0,0,0.09523809523809523,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.19047619047619047,0.2857142857142857,0,0.5238095238095238,0,ciencia_innovacion
futuros,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
fábrica,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,economia
fácil,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,telecomunicaciones
fáciles,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,economia
física,9,6,3,0.6666666666666666,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,infraestructura
físicas,2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
físico,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
fósil,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,energia
fósiles,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,energia
gabinetes,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,agricultura
ganadería,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
ganado,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0,0,0.5,0,ciencia_innovacion
ganancias,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
ganar,2,1,1,0.5,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
ganas,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
garantice,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,NA
garantizar,6,1,5,0.16666666666666666,INSTRUMENTALISMO,0.8333333333333334,0,0,0.16666666666666666,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.3333333333333333,0,0,0.6666666666666666,0,educacion
garantías,2,1,1,0.5,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0.5,0.5,0,0,0,salud
gases,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,medio_ambiente
gasolina,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
gastamos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
gastan,1,0,1,0,TEORÍA CRÍTICA,0,0,0,1,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,NA
gasto,12,4,8,0.3333333333333333,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.08333333333333333,0.08333333333333333,0,0.8333333333333334,0,ciencia_innovacion
gastos,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
gates,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,economia
gendarmería,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,infraestructura
genera,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
generaciones,2,0,2,0,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,agricultura
generación,21,11,10,0.5238095238095238,INSTRUMENTALISMO,0.9523809523809523,0,0,0.047619047619047616,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.09523809523809523,0.047619047619047616,0,0.8571428571428571,0,energia
generado,2,0,2,0,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,ciencia_innovacion
general,4,4,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.25,0,0.75,0,infraestructura
generan,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,NINGUNO,SOLUCIONISMO,0,0,0,1,0,economia
generando,4,0,4,0,INSTRUMENTALISMO,0.5,0,0,0.5,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0.25,0,0.25,0,economia
generar,6,2,4,0.3333333333333333,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0.16666666666666666,0.5,0,0.3333333333333333,0,ciencia_innovacion
genere,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,telecomunicaciones
generen,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
generosa,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,educacion
generosos,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,1,0,0,0,telecomunicaciones
generó,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
gente,3,0,3,0,INSTRUMENTALISMO,0.6666666666666666,0.3333333333333333,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0.3333333333333333,0,0.6666666666666666,0,economia
genética,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
genéticamente,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,agricultura
genético,2,0,2,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.5,0,0,0.5,0,agricultura
geoestacionario,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,seguridad
geografía,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,infraestructura
geográfica,2,0,2,0,DETERMINISMO TECNOLÓGICO,0.5,0.5,0,0,ARTEFACTOS COMO POLÍTICA,DETERMINISMO OPTIMISTA,0,0.5,0,0.5,0,educacion
geográficos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,salud
geotermia,3,1,2,0.3333333333333333,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,0.6666666666666666,0.3333333333333333,0,0,0,energia
geotérmicos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,energia
gesta,1,1,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,general
gestionar,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,general
gestionaremos,1,0,1,0,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,INSTRUMENTALISMO,1,0,0,0,0,ciencia_innovacion
gestiones,2,2,0,1,INSTRUMENTALISMO,1,0,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0,0,0,1,0,ciencia_innovacion
gestión,7,2,5,0.2857142857142857,INSTRUMENTALISMO,0.8571428571428571,0.14285714285714285,0,0,ARTEFACTOS COMO POLÍTICA,SOLUCIONISMO,0.14285714285714285,0.14285714285714285,0,0.7142857142857143,0,agricultura
